date,fire_scar,site,plot,location,site_notes,seedlings_present,species_,seedling_count,seedling_notes,bd1,bd2,bd3,photos
8/1/2025,Yukon Creek,YUCR3,C,9 m,,yes,birch,5,,0.01,0.06,0.01,21ff4ec8-69c2-4f77-859b-603b9ff28734
7/27/2025,Slate,SLAT6,A,3 m,Cone ball in plot,no,NA,NA,NA,NA,NA,NA,c23fd613-b015-4c3e-ae5c-9f1e92715183
8/8/2025,Isom,ISOM1,A,9 m,,no,NA,NA,NA,NA,NA,NA,e422620c-4054-44da-ba68-11261f1778fc
7/27/2025,Slate,SLAT5,A,9 m,,no,NA,NA,NA,NA,NA,NA,f6c7ed12-d66b-472c-a36e-dc453f80850c
7/21/2025,Aggie,AGCR2,B,3 m,,yes,black spruce,2,,1.62,0.21,NA,215bf254-71a4-4b26-b140-6e94d31cecee
8/3/2025,Chitanana,CHIT3,A,3 m,,no,NA,NA,NA,NA,NA,NA,43a8d8a5-734c-487a-8568-8bf17103f9c4
8/4/2025,Yukon Creek,YUCR4,A,6 m,,yes,birch,5,,0.7,0.83,0.8,2b07a178-2dc0-4eee-808e-7ebcb76a04c0
8/4/2025,Yukon Creek,YUCR4,A,6 m,,yes,aspen,3,,0.59,0.23,0.32,2b07a178-2dc0-4eee-808e-7ebcb76a04c0
8/4/2025,Yukon Creek,YUCR4,A,6 m,,yes,black spruce,1,,0.23,NA,NA,2b07a178-2dc0-4eee-808e-7ebcb76a04c0
8/8/2025,Isom,ISOM2,C,3 m,,no,NA,NA,NA,NA,NA,NA,6644b51e-a353-42cf-a71a-7c0496ade280
7/25/2025,McDonald,MCDO3,A,3 m,,no,NA,NA,NA,NA,NA,NA,e95da108-71a6-4533-ba0f-92b56c91b4d1
7/29/2025,McDonald,MCDO4,B,6 m,,no,NA,NA,NA,NA,NA,NA,aa4f08ee-e3c8-406f-9805-76eba4b9b853
7/26/2025,Slate,SLAT3,B,6 m,,yes,black spruce,1,Below 0.05,0.05,NA,NA,40db856a-d037-40a0-bf9a-2e118078278f
8/3/2025,Chitanana,CHIT4,B,6 m,,yes,black spruce,1,Tiny below 0.05,NA,NA,NA,66e1e7f2-f83f-4918-b578-a47594f9c36d
8/8/2025,Isom,ISOM1,C,9 m,,no,NA,NA,NA,NA,NA,NA,7b43f317-efc7-4f15-9ac3-66588f4b90dd
7/29/2025,McDonald,MCDO6,C,3 m,,no,NA,NA,NA,NA,NA,NA,fb16cbf3-a98d-48f0-8aa4-a4df30fbc3b2
7/23/2025,Globe,GLOB4,A,3 m,,no,NA,NA,NA,NA,NA,NA,c25c9459-66fd-4377-a313-88a9e5bf0c1f
7/31/2025,Globe,GLOB3,C,6 m,,no,NA,NA,NA,NA,NA,NA,e7c47e22-4a45-48a5-b6b6-3be77c4645b9
8/8/2025,Isom,ISOM1,C,3 m,,no,NA,NA,NA,NA,NA,NA,113418da-df31-4033-bceb-9ca52a8ad63c
7/21/2025,Aggie,AGCR3,A,3 m,,yes,black spruce,2,,0.62,0.56,NA,37f47232-ea2e-44f0-97af-1d0acfe1211c
7/27/2025,Slate,SLAT5,B,9 m,,no,NA,NA,NA,NA,NA,NA,14223967-6421-4e6f-8b71-2ee635d38cf9
7/21/2025,Aggie,AGCR3,B,6 m,,yes,black spruce,2,,0.26,0.23,NA,988858d9-535d-4775-ac5a-d821febbb83d
7/26/2025,Slate,SLAT2,B,6 m,Plot is in a paddle:/,yes,black spruce,2,All below 0.05,0.05,0.05,NA,53de925e-af0a-4cdc-bb65-a7a3a0c57e68
7/29/2025,McDonald,MCDO5,C,6 m,,no,NA,NA,NA,NA,NA,NA,57e33edb-b52f-45e3-b1a2-3f8d951587de
8/1/2025,Yukon Creek,YUCR2,C,9 m,,yes,birch,1,,0.12,NA,NA,1ce15ab2-c95f-4906-9184-b7aa2fbbd41b
7/27/2025,Slate,SLAT4,C,6 m,,no,NA,NA,NA,NA,NA,NA,58f22121-7050-488f-88b0-25cc1919c4a9
8/2/2025,Troublesome,TROU1,C,6 m,,no,NA,NA,NA,NA,NA,NA,4bc1b138-ad22-4729-8ff2-7ed8d558d144
7/31/2025,Globe,GLOB1,B,9 m,,no,NA,NA,NA,NA,NA,NA,2a190c42-7939-43ef-8253-b393142f2d03
8/4/2025,Yukon Creek,YUCR5,C,3 m,,yes,birch,4,,0.08,0.12,0.1,0d57bd3c-3750-4e38-9a45-dc536078b09c
8/4/2025,Yukon Creek,YUCR5,C,3 m,,yes,black spruce,5,All below 0.05,NA,NA,NA,0d57bd3c-3750-4e38-9a45-dc536078b09c
8/4/2025,Yukon Creek,YUCR4,B,9 m,,yes,birch,13,,0.64,1.27,1.18,81137c5c-0f8a-41c8-a4b1-7f5746f17c7b
8/4/2025,Yukon Creek,YUCR4,B,9 m,,yes,aspen,1,,0.27,NA,NA,81137c5c-0f8a-41c8-a4b1-7f5746f17c7b
8/4/2025,Yukon Creek,YUCR4,B,9 m,,yes,black spruce,1,,0.07,NA,NA,81137c5c-0f8a-41c8-a4b1-7f5746f17c7b
8/8/2025,Isom,ISOM2,A,3 m,,no,NA,NA,NA,NA,NA,NA,f53a8866-0591-4809-abd8-bfd1ccd19443
7/25/2025,McDonald,MCDO3,A,9 m,,no,NA,NA,NA,NA,NA,NA,a1da8b7a-3f01-4dba-abdc-8acc3d4b9b26
8/2/2025,Troublesome,TROU2,A,6 m,,yes,black spruce,1,,0.1,NA,NA,08f23783-ef0c-4f20-bb18-fb32fb8e8a3b
8/3/2025,Chitanana,CHIT4,A,3 m,,yes,birch,1,,0.07,NA,NA,f7cb04e5-fb4f-46d6-9542-66e424f24f5c
7/31/2025,Globe,GLOB2,B,3 m,,yes,black spruce,2,Tiny below 0.05,NA,NA,NA,dcec60ed-73bd-44ca-a17d-b84da24d046e
7/29/2025,McDonald,MCDO4,A,6 m,,no,NA,NA,NA,NA,NA,NA,a188f825-69a3-4bca-ba84-70cb175f2faa
7/25/2025,McDonald,MCDO2,B,3 m,,no,NA,NA,NA,NA,NA,NA,a47e609a-76e6-46ca-8e75-614b155d61b7
7/29/2025,McDonald,MCDO4,C,9 m,,no,NA,NA,NA,NA,NA,NA,91489ac1-c624-40b3-a2f0-47c729f1f12b
7/25/2025,McDonald,MCDO1,A,9 m,,yes,black spruce,1,,0.1,NA,NA,8f1dd2e5-352c-4f76-af9e-aad22e5b3028
7/29/2025,McDonald,MCDO6,A,9 m,,no,NA,NA,NA,NA,NA,NA,a060a80f-c2f3-4def-be0b-5afd14e68569
7/27/2025,Slate,SLAT4,C,9 m,,no,NA,NA,NA,NA,NA,NA,7e51e9d4-fdc5-4088-8233-f3921e2bc24b
