date,fire_scar,site,plot,CollectionID,location (m),green_moss,depth1,org_hit,thaw_d,thaw_hit,ar_sol_depth1,ar_sol_hit,ar_height1,ar_height2,ar_height3,collected,sample_id,sample_depth1,sample_depth2,sample_width1,sample_width2,sample_length1,sample_length2,organic_notes,min_depth,m1_depth1,m1_depth2,m2_depth1,m2_depth_2,min_coregrab,mineral_notes,general_notes,sample_photo
7/27/25,Slate,SLAT4,C,SLAT4C9,9,0.5,0,Mineral,100,Mineral,0,Mineral,18,19.5,23,no,,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,,,NA
8/3/25,Chitanana,CHIT1,B,CHIT1B3,3,3,26,Mineral,46,Frozen Ground,NA,,NA,NA,NA,no,,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,,,NA
8/3/25,Chitanana,CHIT1,B,CHIT1B6,6,0.1,22,Mineral,52,Frozen Ground,NA,,NA,NA,NA,no,,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,,,NA
8/3/25,Chitanana,CHIT1,B,CHIT1B9,9,0.1,20,Mineral,60,Frozen Ground,NA,,NA,NA,NA,no,,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,,,NA
7/23/25,Globe,GLOB6,A,GLOB6A3,3,0,0,Mineral,18,Rock,0,Mineral,28.5,25,19,no,,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,,,NA
7/23/25,Globe,GLOB6,A,GLOB6A6,6,0.5,0,Mineral,15,Rock,0,Mineral,20,20.5,22,no,A6,0,0,0,0,0,0,No organic taken,NA,5,5,5,5,Core,,,NA
7/23/25,Globe,GLOB6,A,GLOB6A9,9,0.5,0,Mineral,35.5,Mineral,0,Mineral,26,25,23.5,no,,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,,,NA
7/21/25,Aggie,AGCR2,C,AGCR2C3,3,4,5.5,Mineral,26,Rock,NA,,NA,NA,NA,no,,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,,,NA
7/21/25,Aggie,AGCR2,C,AGCR2C6,6,2.5,1.5,Mineral,31,Rock,NA,,NA,NA,NA,no,,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,,,NA
7/21/25,Aggie,AGCR2,C,AGCR2C9,9,3,3.5,Mineral,30,Rock,NA,,NA,NA,NA,no,,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,,,NA
7/31/25,Globe,GLOB2,A,GLOB2A6,6,0,29.5,Mineral,50,"Frozen Ground,Mineral,Water",30,Frozen Ground,2,2,5,yes,A6,29,30,10,11,9,9.5,,NA,5,5,5,5,Grab,,,NA
7/31/25,Globe,GLOB2,A,GLOB2A3,3,0,17,Mineral,33,Frozen Ground,19,Mineral,16,13,13,no,,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,,,NA
